"deployAt","ssdName","diskIds","serials"
"","CT240BX5 00SSD1","SIG-B4DB65F7","0000000000000000"
"","KINGSTON SA400S37240G","SIG-965F8964","0000000000000000"
"","CT240BX5 00SSD1","SIG-B4DB65F7","0000000000000000"
"","KINGSTON SA400S37240G","SIG-965F8964","0000000000000000"
"","Realtek RTL9210CN 10G","DC86B525-DED5-4FFE-8053-0424FC1BEF73","921008677980"
"","CT240BX5 00SSD1","SIG-B4DB65F7","0000000000000000"
"","Realtek RTL9210CN 10G","DC86B525-DED5-4FFE-8053-0424FC1BEF73","921008677980"
"","Realtek RTL9210CN 10G","DC86B525-DED5-4FFE-8053-0424FC1BEF73","921008677980"
"","CT500MX5 00SSD1","8CC7E79D-0033-4852-9390-AFEA5304B70B","676038EE1A62"
"","KINGSTON SA400S37240G","SIG-965F8964","0000000000000000"
"","CT500MX5 00SSD1","8CC7E79D-0033-4852-9390-AFEA5304B70B","676038EE1A62"
"","CT240BX5 00SSD1","SIG-B4DB65F7","0000000000000000"
"","KINGSTON SA400S37240G","SIG-965F8964","0000000000000000"
"","Realtek RTL9210CN 10G","DC86B525-DED5-4FFE-8053-0424FC1BEF73","921008677980"
"","CT500MX5 00SSD1","8CC7E79D-0033-4852-9390-AFEA5304B70B","676038EE1A62"
"","CT240BX5 00SSD1","SIG-B4DB65F7","0000000000000000"
"","KINGSTON SA400S37240G","SIG-965F8964","0000000000000000"
"","Realtek RTL9210CN 10G","DC86B525-DED5-4FFE-8053-0424FC1BEF73","921008677980"
